command,description,url
QWinsta,Query Session Display all sessions (TS/Remote Desktop),https://ss64.com/nt/query-session.html
QAppSrv,Query TermServer List all servers (TS/Remote Desktop),https://ss64.com/nt/query-termserver.html
QUSER,Query User Display user sessions (TS/Remote Desktop),https://ss64.com/nt/query-user.html
RASDIAL,Manage RAS connections,https://ss64.com/nt/rasdial.html
RASPHONE,Manage RAS connections,https://ss64.com/nt/rasphone.html
RD,Delete a Directoryʥ,https://ss64.com/nt/rd.html
REAgentC,Configure WindowsRE and System Reset,https://ss64.com/nt/reagentc.html
RECOVER,Recover a damaged file from a defective disk,https://ss64.com/nt/recover.html
REG,"Registry: Read, Set, Export, Delete keys and values",https://ss64.com/nt/reg.html
REGEDIT,Import or export registry settings,https://ss64.com/nt/regedit.html
REGSVR32,Register or unregister a DLL,https://ss64.com/nt/regsvr32.html
REGINI,Change Registry Permissions,https://ss64.com/nt/regini.html
REM,Record comments (remarks) in a batch fileʥ,https://ss64.com/nt/rem.html
REN,Rename a file or filesʥ,https://ss64.com/nt/ren.html
REPLACE,Replace or update one file with another,https://ss64.com/nt/replace.html
Reset Session,Delete a Remote Desktop Session,https://ss64.com/nt/reset-session.html
RMDIR,Delete a Directoryʥ,https://ss64.com/nt/rd.html
RMTSHARE,Share a folder or a printer,https://ss64.com/nt/rmtshare.html
ROBOCOPY,Robust File and Folder Copy,https://ss64.com/nt/robocopy.html
ROUTE,Manipulate network routing tables,https://ss64.com/nt/route.html
RUN,Start | RUN commands,https://ss64.com/nt/run.html
RUNAS,Execute a program under a different user account,https://ss64.com/nt/runas.html
RUNDLL32,Run a DLL command (add/remove print connections),https://ss64.com/nt/rundll32.html
SC,Service Control,https://ss64.com/nt/sc.html
SCHTASKS,Schedule a command to run at a specific time,https://ss64.com/nt/schtasks.html
ScriptRunner,Run one or more scripts in sequence,https://ss64.com/nt/scriptrunner.html
SET,"Display, set, or remove session environment variablesʥ",https://ss64.com/nt/set.html
SETLOCAL,Control the visibility of environment variablesʥ,https://ss64.com/nt/setlocal.html
SetObjectSecurity,"Set  security  for  an object (file, directory, reg key etc).",https://ss64.com/nt/setobjectsecurity.html
SetSPN,Edit Service Principal Names,https://ss64.com/nt/setspn.html
SETX,Set environment variables,https://ss64.com/nt/setx.html
SFC,System File Checker,https://ss64.com/nt/sfc.html
SHARE,List or edit a file share or print share,https://ss64.com/nt/share.html
ShellRunAs,Run a command under a different user account,https://ss64.com/nt/shellrunas.html
SHIFT,Shift the position of batch file parametersʥ,https://ss64.com/nt/shift.html
SHORTCUT,Create a windows shortcut (.LNK file),https://ss64.com/nt/shortcut.html
SHUTDOWN,Shutdown the computer,https://ss64.com/nt/shutdown.html
SIGCHECK,Display file version no. VirusTotal status & timestamp,https://ss64.com/nt/sigcheck.html
SLMGR,Software Licensing Management,https://ss64.com/nt/slmgr.html
SORT,Sort input,https://ss64.com/nt/sort.html
SSH,OpenSSH remote login client,https://ss64.com/nt/ssh.html
START,"Start a program, command or batch fileʥ",https://ss64.com/nt/start.html
STREAMS,List any Alternate Data  Streams (ADS) within a file or directory,https://ss64.com/nt/streams.html
STRINGS,Search for ANSI and UNICODE strings in binary files,https://ss64.com/nt/strings.html
SUBINACL,"Edit file and folder Permissions, Ownership and Domain",https://ss64.com/nt/subinacl.html
SUBST,Associate a path with a drive letter,https://ss64.com/nt/subst.html
SXSTRACE,Diagnose side-by-side problems,https://ss64.com/nt/sxstrace.html
SYSMON,Monitor and log system activity to the Windows event log,https://ss64.com/nt/sysmon.html
SYSTEMINFO,List system configuration,https://ss64.com/nt/systeminfo.html
TAKEOWN,Take ownership of a file,https://ss64.com/nt/takeown.html
TAR,"Store, list or extract files in an archive",https://ss64.com/nt/tar.html
TASKLIST,List running applications and services,https://ss64.com/nt/tasklist.html
TASKKILL,End a running process,https://ss64.com/nt/taskkill.html
TELNET,Communicate with another host using the TELNET protocol,https://ss64.com/nt/telnet.html
TIME,Display or set the system timeʥ,https://ss64.com/nt/time.html
TIMEOUT,Delay processing of a batch file/command,https://ss64.com/nt/timeout.html
TITLE,Set the window title for a CMD.EXE sessionʥ,https://ss64.com/nt/title.html
TLIST,Task list with full path,https://ss64.com/nt/tlist.html
TOUCH,Change file timestamps,https://ss64.com/nt/touch.html
TRACERT,Trace route to a remote host,https://ss64.com/nt/tracert.html
TREE,Graphical display of folder structure,https://ss64.com/nt/tree.html
TSDISCON,Disconnect a Remote Desktop Session,https://ss64.com/nt/tsdiscon.html
TSKILL,End a running process,https://ss64.com/nt/tskill.html
TYPE,Display the contents of a text fileʥ,https://ss64.com/nt/type.html
TypePerf,Write Performance Monitor data to a log file,https://ss64.com/nt/typeperf.html
TZUTIL,Time Zone Utility,https://ss64.com/nt/tzutil.html
VBC,Visual Basic compiler,https://ss64.com/nt/vbc.html
VER,Display version informationʥ,https://ss64.com/nt/ver.html
VERIFY,Verify that files have been savedʥ,https://ss64.com/nt/verify.html
VMConnect,Connect to a Hyper-V Virtual Machine,https://ss64.com/nt/vmconnect.html
VOL,Display a disk labelʥ,https://ss64.com/nt/vol.html
VSSADMIN,Display volume shadow copy backups + writers/providers,https://ss64.com/nt/vssadmin.html
W32TM,Time Service,https://ss64.com/nt/w32tm.html
WAITFOR,Wait for or send a signal,https://ss64.com/nt/waitfor.html
WBADMIN,Windows Backup Admin,https://ss64.com/nt/wbadmin.html
WECUTIL,Windows Event Collector Utility,https://ss64.com/nt/wecutil.html
WEVTUTIL,"Clear event logs, enable/disable/query logs",https://ss64.com/nt/wevtutil.html
WHERE,Locate and display files in a directory tree,https://ss64.com/nt/where.html
WHOAMI,Output the current UserName and domain,https://ss64.com/nt/whoami.html
WHOIS,Lookup the registration record for a domain,https://ss64.com/nt/whois.html
WINDIFF,Compare the contents of two files or sets of files,https://ss64.com/nt/windiff.html
WINGET,Windows Package Manager (coming May 2021),https://ss64.com/nt/winget.html
WINMGMT,Manage the  WMI service/WMI repository,https://ss64.com/nt/winmgmt.html
WINRM,Windows Remote Management,https://ss64.com/nt/winrm.html
WINRS,Windows Remote Shell,https://ss64.com/nt/winrs.html
WMIC,WMI Commands,https://ss64.com/nt/wmic.html
WPEUTIL,Run Preinstallation Environment (WinPE) commands,https://ss64.com/nt/wpeutil.html
WPR,Windows Performance Recorder,https://ss64.com/nt/wpr.html
WT,Windows Terminal,https://ss64.com/nt/wt.html
WUSA,Windows Update Standalone Installer,https://ss64.com/nt/wusa.html
WUAUCLT,Windows Update,https://ss64.com/nt/wuauclt.html
XCACLS,Change file and folder permissions,https://ss64.com/nt/xcacls.html
XCOPY,Copy files and folders,https://ss64.com/nt/xcopy.html
::,Comment / Remarkʥ,https://ss64.com/nt/rem.html
